FirstName	LastName	Domain	Email	Persona	Heritage
Carlos	Rodriguez	askequityconnect.com	carlos@askequityconnect.com	Carlos Rodriguez	Latino/Hispanic
Maria	Rodriguez	askequityconnect.com	maria@askequityconnect.com	Maria Rodriguez	Latino/Hispanic
Rahul	Patel	equityconnectadvisor.com	rahul@equityconnectadvisor.com	Rahul Patel	South Asian
Priya	Patel	equityconnectadvisor.com	priya@equityconnectadvisor.com	Priya Patel	South Asian
Marcus	Washington	equityconnectcenter.com	marcus@equityconnectcenter.com	Marcus Washington	African American
LaToYa	Washington	equityconnectcenter.com	latoya@equityconnectcenter.com	LaToYa Washington	African American
Carlos	Rodriguez	equityconnecthelp.com	carlos@equityconnecthelp.com	Carlos Rodriguez	Latino/Hispanic
Rahul	Patel	equityconnecthelp.com	rahul@equityconnecthelp.com	Rahul Patel	South Asian
Maria	Rodriguez	equityconnecthome.com	maria@equityconnecthome.com	Maria Rodriguez	Latino/Hispanic
Priya	Patel	equityconnecthome.com	priya@equityconnecthome.com	Priya Patel	South Asian
Marcus	Washington	equityconnecthq.com	marcus@equityconnecthq.com	Marcus Washington	African American
Carlos	Rodriguez	equityconnecthq.com	carlos@equityconnecthq.com	Carlos Rodriguez	Latino/Hispanic
LaToYa	Washington	equityconnectinfo.com	latoya@equityconnectinfo.com	LaToYa Washington	African American
Maria	Rodriguez	equityconnectinfo.com	maria@equityconnectinfo.com	Maria Rodriguez	Latino/Hispanic
Rahul	Patel	equityconnectlending.com	rahul@equityconnectlending.com	Rahul Patel	South Asian
Marcus	Washington	equityconnectlending.com	marcus@equityconnectlending.com	Marcus Washington	African American
Priya	Patel	equityconnectnow.com	priya@equityconnectnow.com	Priya Patel	South Asian
LaToYa	Washington	equityconnectnow.com	latoya@equityconnectnow.com	LaToYa Washington	African American
Carlos	Rodriguez	equityconnectpro.com	carlos@equityconnectpro.com	Carlos Rodriguez	Latino/Hispanic
Priya	Patel	equityconnectpro.com	priya@equityconnectpro.com	Priya Patel	South Asian
Maria	Rodriguez	equityconnectreverse.com	maria@equityconnectreverse.com	Maria Rodriguez	Latino/Hispanic
Marcus	Washington	equityconnectreverse.com	marcus@equityconnectreverse.com	Marcus Washington	African American
Rahul	Patel	equityconnectsolutions.com	rahul@equityconnectsolutions.com	Rahul Patel	South Asian
LaToYa	Washington	equityconnectsolutions.com	latoya@equityconnectsolutions.com	LaToYa Washington	African American
Carlos	Rodriguez	getequityconnect.com	carlos@getequityconnect.com	Carlos Rodriguez	Latino/Hispanic
LaToYa	Washington	getequityconnect.com	latoya@getequityconnect.com	LaToYa Washington	African American
Maria	Rodriguez	goequityconnect.com	maria@goequityconnect.com	Maria Rodriguez	Latino/Hispanic
Rahul	Patel	goequityconnect.com	rahul@goequityconnect.com	Rahul Patel	South Asian
Priya	Patel	yourequityconnect.com	priya@yourequityconnect.com	Priya Patel	South Asian
Marcus	Washington	yourequityconnect.com	marcus@yourequityconnect.com	Marcus Washington	African American

